"src","dest","direction"
"1740","2066","undirected"
"1740","2903","undirected"
"1740","2977","undirected"
"1740","3768","undirected"
"1740","4036","undirected"
"1740","4842","undirected"
"1742","2064","undirected"
"1742","2066","undirected"
"1742","8321","undirected"
"1742","2535","undirected"
"1742","8322","undirected"
"1742","8324","undirected"
"1742","2891","undirected"
"1742","2903","undirected"
"1742","2905","undirected"
"1742","2977","undirected"
"1742","3768","undirected"
"1742","3759","undirected"
"1742","4036","undirected"
"1742","4296","undirected"
"1742","4842","undirected"
"1742","5578","undirected"
"1742","2185","undirected"
"10059","2932","undirected"
"1786","1788","undirected"
"1786","3066","undirected"
"1786","80854","undirected"
"1786","6667","undirected"
"1786","6774","undirected"
"1786","7157","undirected"
"1788","4609","undirected"
"1788","8554","undirected"
"1788","9063","undirected"
"1794","5062","undirected"
"1794","5880","undirected"
"1794","7409","undirected"
"1813","3760","undirected"
"1813","3762","undirected"
"1813","3763","undirected"
"1816","2768","undirected"
"1816","10672","undirected"
"1840","151636","undirected"
"1840","2885","undirected"
"1840","83737","undirected"
"1840","4214","undirected"
"1840","4851","undirected"
"113878","2810","undirected"
"1843","3551","undirected"
"1843","5594","undirected"
"1843","5602","undirected"
"1843","5595","undirected"
"1843","5599","undirected"
"1843","5601","undirected"
"1843","5584","undirected"
"1843","6502","undirected"
"11221","5602","undirected"
"11221","5599","undirected"
"11221","5601","undirected"
"80824","5594","undirected"
"80824","5602","undirected"
"80824","5599","undirected"
"80824","9479","undirected"
"80824","23542","undirected"
"80824","5601","undirected"
"1845","1956","undirected"
"1845","5594","undirected"
"1845","5595","undirected"
"1846","5595","undirected"
"1846","5599","undirected"
"1847","5595","undirected"
"1848","5594","undirected"
"1848","5595","undirected"
"1849","2690","undirected"
"1856","4214","undirected"
"1856","7157","undirected"
"1856","7186","undirected"
"1856","7428","undirected"
"1857","144165","undirected"
"1874","3398","undirected"
"1874","5934","undirected"
"1874","25942","undirected"
"1874","4088","undirected"
"1875","5934","undirected"
"51295","7099","undirected"
"1909","2767","undirected"
"1938","7157","undirected"
"29904","6198","undirected"
"1942","5473","undirected"
"1950","1956","undirected"
"1950","2064","undirected"
"1950","2065","undirected"
"1950","9261","undirected"
"1950","5296","undirected"
"1950","9252","undirected"
"1950","7448","undirected"
"1956","2064","undirected"
"1956","2065","undirected"
"1956","2069","undirected"
"1956","2184","undirected"
"1956","2335","undirected"
"1956","2549","undirected"
"1956","11345","undirected"
"1956","2805","undirected"
"1956","2887","undirected"
"1956","2885","undirected"
"1956","1839","undirected"
"1956","3320","undirected"
"1956","7184","undirected"
"1956","3312","undirected"
"1956","3480","undirected"
"1956","3636","undirected"
"1956","3717","undirected"
"1956","7786","undirected"
"1956","9020","undirected"
"1956","11184","undirected"
"1956","4190","undirected"
"1956","4690","undirected"
"1956","8440","undirected"
"1956","3084","undirected"
"1956","5159","undirected"
"1956","5338","undirected"
"1956","5536","undirected"
"1956","5566","undirected"
"1956","5573","undirected"
"1956","5575","undirected"
"1956","5578","undirected"
"1956","5747","undirected"
"1956","2185","undirected"
"1956","5770","undirected"
"1956","5781","undirected"
"1956","5777","undirected"
"1956","5921","undirected"
"1956","8737","undirected"
"1956","8651","undirected"
"1956","9021","undirected"
"1956","6654","undirected"
"1956","6655","undirected"
